name,date,location,genre,duration,max_capacity
Summer Beats Concert,15/07/2026,Central Park,Pop,02:30,5000
Neighborhood Art Fair,03/08/2026,Riverside Plaza,Arts & Crafts,06:00,1200
Tech for Good Meetup,22/07/2026,Community Center,Technology,03:00,200
Family Fun Day,05/09/2026,Eastside Playground,Family,04:00,800
Open Mic Night,29/07/2026,Library Auditorium,Spoken Word,02:00,150
Outdoor Film Screening,12/08/2026,Green Hill,Film,02:15,600
Jazz in the Park,30/07/2026,Old Town Square,Jazz,02:00,1000
Health & Wellness Expo,12/09/2026,Convention Hall,Health,08:00,2000
Community Volunteer Fair,21/08/2026,Town Hall,Volunteer,05:00,300
Local Food Festival,07/08/2026,Market Street,Food,07:00,4000
Riverfront Sunday Market,11/07/2026,Riverfront,Markets,05:00,800
Children's Story Hour,18/08/2026,City Library,Family,01:00,60
Street Dance Showcase,24/07/2026,Downtown Promenade,Dance,03:00,500
Solar System Talk,02/09/2026,Science Museum,Education,01:30,120
Pet Adoption Day,16/08/2026,Animal Shelter,Community,04:00,250
Community Chess Tournament,25/07/2026,Recreation Center,Gaming,06:00,100
Local Makers Workshop,08/09/2026,Workshop Hub,DIY,03:30,80
Night Market Bazaar,14/08/2026,Old Harbor,Markets,06:00,1500
Vintage Car Show,20/09/2026,Exhibition Grounds,Automotive,05:00,700
Youth Coding Camp,01/08/2026,Tech Hub,Education,04:00,60
Garden Plant Swap,28/07/2026,Community Garden,Gardening,02:00,200
Poetry Slam,06/08/2026,Cafe Corner,Spoken Word,02:30,120
Film Makers Workshop,19/09/2026,Studio 4,Film,03:00,40
Urban Photography Walk,09/08/2026,City Center,Photography,02:30,50
Classical Recital,04/09/2026,Concert Hall,Classical,01:45,600
Startup Pitch Night,27/08/2026,Incubator,Technology,03:00,180
Bike Repair Clinic,13/08/2026,Bike Depot,Community,02:00,40
Language Exchange Meetup,23/07/2026,Community Cafe,Cultural,02:00,70
Sustainable Living Fair,10/09/2026,Eco Park,Environment,07:00,900
Board Game Night,31/07/2026,Game Lounge,Gaming,04:00,60
Neighborhood Clean Up,17/07/2026,Various Locations,Volunteer,03:00,200
Food Truck Rally,26/09/2026,Harbor Lane,Food,05:00,3000
Open Studio Night,08/07/2026,Artist Row,Arts & Crafts,03:30,150
Community Talent Show,02/10/2026,High School Auditorium,Variety,02:30,500
Birdwatching Morning,15/08/2026,Nature Reserve,Outdoors,03:00,80
Winter Holiday Planning Fair,05/11/2026,Town Hall,Community,04:00,400
Senior Fitness Class,21/09/2026,Senior Center,Health,01:00,50
Makers Night: Electronics,29/09/2026,Tech Hub,DIY,03:00,40
Cultural Food Exchange,12/10/2026,Community Kitchen,Food,04:00,200
Outdoor Yoga Session,03/08/2026,Lakeside Lawn,Health,01:15,120
Local History Walk,18/09/2026,Old Quarter,Education,02:00,60
Handmade Craft Fair,25/09/2026,Market Hall,Arts & Crafts,06:30,1100
Charity Run,11/10/2026,River Trail,Fitness,02:00,2500
Cinema Classics Night,22/10/2026,Open Air Theatre,Film,02:20,800
Community Choir Concert,07/11/2026,St. Mary's Church,Classical,01:30,350
Tech Accessibility Workshop,14/10/2026,Learning Center,Technology,02:30,90
Family Science Fair,30/10/2026,Exhibition Hall,Education,05:00,1000
Holiday Craft Markets,06/12/2026,Market Street,Markets,07:00,2000
Late Night Poetry,19/11/2026,Underground Venue,Spoken Word,02:00,150